Individual statistics:

1 Lc0 - 3900  :2770.7 71 (+ 64,=  4,-  3), 93.0 %

Lc0 - 915     : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2317    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2300    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2200    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2400    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2500    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2171    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2125    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2551    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2600    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2100    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2079    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2656    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2700    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2055    : 2 (+  1,=  1,-  0), 75.0 %
Lc0 - 2000    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2775    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2800    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1970    : 2 (+  1,=  0,-  1), 50.0 %
Lc0 - 1940    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 2878    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 2900    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1900    : 2 (+  1,=  1,-  0), 75.0 %
Lc0 - 1854    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 3000    : 2 (+  1,=  0,-  1), 50.0 %
Lc0 - 3100    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1800    : 2 (+  1,=  0,-  1), 50.0 %
Lc0 - 1777    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 3200    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 3300    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1700    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1629    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 3400    : 2 (+  1,=  1,-  0), 75.0 %
Lc0 - 341     : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1600    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1549    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 3500    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 3600    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1533    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 1500    : 1 (+  1,=  0,-  0), 100.0 %
Lc0 - 3701    : 2 (+  2,=  0,-  0), 100.0 %
Lc0 - 3800    : 1 (+  0,=  1,-  0), 50.0 %
Lc0 - 1440    : 1 (+  1,=  0,-  0), 100.0 %
